id,qid1,qid2,question1,question2,is_duplicate
186358,217262,280740,What are the differences between Android and iOS?,Which is better: Java or Python?,0
186359,243143,123189,Which is better: Java or Python?,Which is better: Java or Python?,1
186360,277908,177624,What are the best books on modern philosophy?,What are some the best books on modern philosophy?,1
186361,251185,248539,How do you sleep well?,How do you sleep well?,1
186362,277994,236050,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186363,270220,297499,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
186364,268588,131321,What is the future of data science?,What is the most beautiful moment in your life?,0
186365,257717,262151,Will there be a war between India and Pakistan?,Which is better: Java or Python?,0
186366,183077,203856,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
186367,222078,296497,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
186368,276427,146813,How do I remove water from ear?,What is GST and how does it benefit common people?,0
186369,229858,237854,What are the differences between Android and iOS?,What are the differences between Android and iOS?,1
186370,150771,123865,How do you sleep well?,How do you sleep well?,1
186371,131868,174991,How can I improve my communication skills?,What is the most beautiful moment in your life?,0
186372,227738,187820,What are the best books on modern philosophy?,What are the best books on modern philosophy?,1
186373,189396,291005,What are the best books on modern philosophy?,What are the best books on modern philosophy?,1
186374,213915,297952,What is GST and how does it benefit common people?,What are the best books on modern philosophy?,0
186375,215277,133119,How do you sleep well?,How do you sleep well?,1
186376,210397,174508,What is GST and how does it benefit common people?,What's GST and how does it benefit common people?,1
186377,220660,223406,Will there be a war between India and Pakistan?,What are the differences between Android and iOS?,0
186378,125139,165788,What is GST and how does it benefit common people?,How do you sleep well?,0
186379,112744,154636,What is GST and how does it benefit common people?,What's GST and how does it benefit common people?,1
186380,150414,195494,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186381,163405,256411,How can I motivate myself to achieve more?,What are the differences between Android and iOS?,0
186382,233987,285811,How do I remove water from ear?,How can I motivate myself to achieve more?,0
186383,293669,160464,How do I remove water from ear?,How do I remove water from ear?,1
186384,176396,191075,How do you sleep well?,What is the future of data science?,0
186385,206704,135805,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
186386,153531,208985,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
186387,124624,144300,How do you sleep well?,How should I you sleep well?,1
186388,248871,243882,Which is better: Java or Python?,Which is better: Java or Python?,1
186389,168771,133859,What are the best books on modern philosophy?,What is the most beautiful moment in your life?,0
186390,221045,220582,What are the differences between Android and iOS?,How can I motivate myself to achieve more?,0
186391,112163,124558,How can I motivate myself to achieve more?,What is the most beautiful moment in your life?,0
186392,101761,193150,Which is better: Java or Python?,What are the best books on modern philosophy?,0
186393,115105,276748,How can I improve my communication skills?,Will there be a war between India and Pakistan?,0
186394,251859,204205,What are the differences between Android and iOS?,What are the differences between Android and iOS?,1
186395,262455,159916,What is the future of data science?,How can I get venture capital for my startup?,0
186396,260296,182574,How do I remove water from ear?,How do you sleep well?,0
186397,227734,136967,Is it scientifically possible to bring someone back to life?,Is it really scientifically possible to bring someone back to life?,1
186398,176032,117247,What should I do to overcome anxiety?,What are the best books on modern philosophy?,0
186399,292866,151218,What is the most beautiful moment in your life?,What is the most beautiful moment in your life?,1
186400,242185,149248,How can I motivate myself to achieve more?,How can I motivate myself to achieve more?,1
186401,284365,144514,What is GST and how does it benefit common people?,What are some good laptops under 60k?,0
186402,111908,252485,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186403,114548,263186,How can I improve my communication skills?,Is it scientifically possible to bring someone back to life?,0
186404,260370,255080,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
186405,218547,108820,How can I improve my communication skills?,How can I improve my communication skills?,1
186406,237222,287339,How do you sleep well?,How do you sleep well?,1
186407,247856,146085,How can I get venture capital for my startup?,How do I get venture capital for my startup?,1
186408,144786,197008,What is the future of data science?,What's the future of data science?,1
186409,134184,159189,Which is better: Java or Python?,How can I improve my communication skills?,0
186410,225815,205428,What are the best books on modern philosophy?,Is it scientifically possible to bring someone back to life?,0
186411,132676,190708,What are the differences between Android and iOS?,What are the differences between Android and iOS?,1
186412,228298,268759,What should I do to overcome anxiety?,What is GST and how does it benefit common people?,0
186413,159238,299090,How can I improve my communication skills?,How can I improve my communication skills?,1
186414,255448,290376,How do you sleep well?,How do you sleep well?,1
186415,181492,233168,What is the most beautiful moment in your life?,Which is better: Java or Python?,0
186416,211338,219878,What are some good laptops under 60k?,Is it scientifically possible to bring someone back to life?,0
186417,244568,115306,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186418,167253,101720,What are some good laptops under 60k?,How can I motivate myself to achieve more?,0
186419,114101,203719,What are the best books on modern philosophy?,How can I improve my communication skills?,0
186420,182137,204493,What is GST and how does it benefit common people?,What is GST and how should Ies it benefit common people?,1
186421,135339,190311,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186422,238052,124704,What are the best books on modern philosophy?,Is it scientifically possible to bring someone back to life?,0
186423,226745,184433,How can I improve my communication skills?,How do I improve my communication skills?,1
186424,152279,244200,How do you sleep well?,How can I motivate myself to achieve more?,0
186425,227831,188693,What are the differences between Android and iOS?,What are some the differences between Android and iOS?,1
186426,293085,223267,What is the future of data science?,What are some good laptops under 60k?,0
186427,229869,235284,Is it scientifically possible to bring someone back to life?,Is it really scientifically possible to bring someone back to life?,1
186428,152803,185440,Is it scientifically possible to bring someone back to life?,What are some good laptops under 60k?,0
186429,102388,184506,How can I get venture capital for my startup?,What are some good laptops under 60k?,0
186430,110570,156907,Will there be a war between India and Pakistan?,What are the differences between Android and iOS?,0
186431,285910,116809,What is the most beautiful moment in your life?,What are some good laptops under 60k?,0
186432,161760,258561,What is GST and how does it benefit common people?,What are some good laptops under 60k?,0
186433,234886,155697,What are the differences between Android and iOS?,What are some the differences between Android and iOS?,1
186434,242876,153022,How do you sleep well?,What is GST and how does it benefit common people?,0
186435,180552,292453,How can I get venture capital for my startup?,How do I remove water from ear?,0
186436,223685,290813,What is GST and how does it benefit common people?,How do you sleep well?,0
186437,270465,120160,How can I motivate myself to achieve more?,What are some good laptops under 60k?,0
186438,271695,224920,How do you sleep well?,How do you sleep well?,1
186439,122580,236622,How can I get venture capital for my startup?,How do I remove water from ear?,0
186440,282684,160230,Is it scientifically possible to bring someone back to life?,Is it scientifically possible to bring someone back to life?,1
186441,290028,102634,How can I improve my communication skills?,Will there be a war between India and Pakistan?,0
186442,155103,257197,Which is better: Java or Python?,Which is better: Java or Python?,1
186443,288938,112404,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186444,136978,153626,What is the most beautiful moment in your life?,What are the differences between Android and iOS?,0
186445,239362,275464,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186446,272332,292721,How can I motivate myself to achieve more?,How can I motivate myself to achieve more?,1
186447,282729,241954,Will there be a war between India and Pakistan?,What is GST and how does it benefit common people?,0
186448,241403,111311,What is the future of data science?,What is GST and how does it benefit common people?,0
186449,237071,191267,How do you sleep well?,How do you sleep well?,1
186450,198414,132056,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186451,249123,282455,What should I do to overcome anxiety?,What is GST and how does it benefit common people?,0
186452,138820,218940,Is it scientifically possible to bring someone back to life?,Is it really scientifically possible to bring someone back to life?,1
186453,172562,174472,What is the future of data science?,What is the most beautiful moment in your life?,0
186454,297529,275072,How can I motivate myself to achieve more?,Which is better: Java or Python?,0
186455,120984,138649,Which is better: Java or Python?,Which is better: Java or Python?,1
186456,129858,243077,How can I motivate myself to achieve more?,What is GST and how does it benefit common people?,0
186457,274979,222210,How do I remove water from ear?,How should I I remove water from ear?,1
186458,117513,136985,How can I get venture capital for my startup?,What is the most beautiful moment in your life?,0
186459,105948,135975,What are the differences between Android and iOS?,How do I remove water from ear?,0
186460,159302,191816,How can I get venture capital for my startup?,What should I do to overcome anxiety?,0
186461,131600,279049,How do I remove water from ear?,What is the future of data science?,0
186462,268104,101896,How can I motivate myself to achieve more?,What is GST and how does it benefit common people?,0
186463,209080,128967,How can I improve my communication skills?,What is the most beautiful moment in your life?,0
186464,119762,147843,What should I do to overcome anxiety?,How can I get venture capital for my startup?,0
186465,245289,145381,What are the differences between Android and iOS?,What are some the differences between Android and iOS?,1
186466,221931,133275,What are the differences between Android and iOS?,What is the most beautiful moment in your life?,0
186467,192512,186252,Is it scientifically possible to bring someone back to life?,What are the best books on modern philosophy?,0
186468,163477,197508,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186469,123594,158027,How do you sleep well?,How do you sleep well?,1
186470,298247,249689,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
186471,132629,268173,What is the future of data science?,What are some good laptops under 60k?,0
186472,241013,120544,How do you sleep well?,What is GST and how does it benefit common people?,0
186473,136560,266120,How can I motivate myself to achieve more?,What is the future of data science?,0
186474,173504,144637,How can I get venture capital for my startup?,What are the best books on modern philosophy?,0
186475,281550,258297,Will there be a war between India and Pakistan?,How do you sleep well?,0
186476,228000,295841,What is GST and how does it benefit common people?,What are some good laptops under 60k?,0
186477,251877,162943,What is the future of data science?,What is the future of data science?,1
186478,162187,224259,How do I remove water from ear?,What are some good laptops under 60k?,0
186479,246261,109571,What is GST and how does it benefit common people?,What are some good laptops under 60k?,0
186480,217516,129964,Will there be a war between India and Pakistan?,How can I improve my communication skills?,0
186481,247014,117862,What are the differences between Android and iOS?,How do you sleep well?,0
186482,216340,136882,How can I improve my communication skills?,How do I remove water from ear?,0
186483,209559,272266,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186484,145394,133709,Which is better: Java or Python?,What is GST and how does it benefit common people?,0
186485,264891,123826,How do you sleep well?,How do you sleep well?,1
186486,208188,109881,How do I remove water from ear?,How can I improve my communication skills?,0
186487,136090,131881,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186488,236859,290010,How can I motivate myself to achieve more?,How can I motivate myself to achieve more?,1
186489,182430,216674,Will there be a war between India and Pakistan?,What is the most beautiful moment in your life?,0
186490,127786,247210,How do I remove water from ear?,Which is better: Java or Python?,0
186491,298468,154293,What are the differences between Android and iOS?,How do I remove water from ear?,0
186492,169068,214894,How can I get venture capital for my startup?,How do you sleep well?,0
186493,240101,232264,How do you sleep well?,Is it scientifically possible to bring someone back to life?,0
186494,231912,184569,How do I remove water from ear?,How can I improve my communication skills?,0
186495,150781,254297,Is it scientifically possible to bring someone back to life?,Is it scientifically possible to bring someone back to life?,1
186496,272017,127714,How can I improve my communication skills?,How can I improve my communication skills?,1
186497,202809,138711,How can I improve my communication skills?,Is it scientifically possible to bring someone back to life?,0
186498,251866,112967,Is it scientifically possible to bring someone back to life?,Is it scientifically possible to bring someone back to life?,1
186499,141131,154462,How do you sleep well?,How do I remove water from ear?,0
186500,173394,221689,What is the future of data science?,What is the future of data science?,1
186501,125506,181764,What are some good laptops under 60k?,Is it scientifically possible to bring someone back to life?,0
186502,158645,189915,Is it scientifically possible to bring someone back to life?,What are some good laptops under 60k?,0
186503,153848,224064,How do I remove water from ear?,How do I remove water from ear?,1
186504,100945,144496,What should I do to overcome anxiety?,How do you sleep well?,0
186505,234486,240942,How can I improve my communication skills?,How can I improve my communication skills?,1
186506,195039,249337,What is GST and how does it benefit common people?,Is it scientifically possible to bring someone back to life?,0
186507,196627,166897,How can I improve my communication skills?,What should I do to overcome anxiety?,0
186508,227175,222584,What is the most beautiful moment in your life?,What is the most beautiful moment in your life?,1
186509,257650,169154,Which is better: Java or Python?,What is the most beautiful moment in your life?,0
186510,140819,127614,What is GST and how does it benefit common people?,Is it scientifically possible to bring someone back to life?,0
186511,129428,194100,Which is better: Java or Python?,What is GST and how does it benefit common people?,0
186512,127465,171892,What are the differences between Android and iOS?,What are the differences between Android and iOS?,1
186513,284461,119077,Which is better: Java or Python?,Will there be a war between India and Pakistan?,0
186514,139115,149268,What are some good laptops under 60k?,What are some some good laptops under 60k?,1
186515,266706,292716,What are the best books on modern philosophy?,What are the best books on modern philosophy?,1
186516,168440,274524,What should I do to overcome anxiety?,What should I should I to overcome anxiety?,1
186517,234063,258316,Is it scientifically possible to bring someone back to life?,Is it scientifically possible to bring someone back to life?,1
186518,299795,216149,What is the most beautiful moment in your life?,What is the most beautiful moment in your life?,1
186519,109272,295133,What is the future of data science?,What is the future of data science?,1
186520,208563,286093,Is it scientifically possible to bring someone back to life?,Is it scientifically possible to bring someone back to life?,1
186521,220225,238385,What is the future of data science?,What is the future of data science?,1
186522,140785,138734,How do you sleep well?,Will there be a war between India and Pakistan?,0
186523,296228,211615,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
186524,239201,149465,What are the differences between Android and iOS?,What are some the differences between Android and iOS?,1
186525,251400,217442,What are the differences between Android and iOS?,What are the differences between Android and iOS?,1
186526,138955,240845,What is the most beautiful moment in your life?,What's the most beautiful moment in your life?,1
186527,273766,104649,What is the most beautiful moment in your life?,What is the most beautiful moment in your life?,1
186528,120484,105225,How can I motivate myself to achieve more?,What are some good laptops under 60k?,0
186529,257631,221804,Which is better: Java or Python?,Which is better: Java or Python?,1
186530,294060,269707,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186531,219034,222627,What is the future of data science?,What is the future of data science?,1
186532,129791,293474,How do you sleep well?,Which is better: Java or Python?,0
186533,188253,296459,How do I remove water from ear?,Will there be a war between India and Pakistan?,0
186534,283164,252290,Is it scientifically possible to bring someone back to life?,How can I improve my communication skills?,0
186535,160517,100013,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186536,258350,186444,What is the most beautiful moment in your life?,What's the most beautiful moment in your life?,1
186537,245601,134305,Is it scientifically possible to bring someone back to life?,How can I improve my communication skills?,0
186538,274772,123844,How do I remove water from ear?,How do I remove water from ear?,1
186539,118298,170508,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186540,186554,223935,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
186541,140843,247040,How can I improve my communication skills?,How can I improve my communication skills?,1
186542,165707,197585,How do you sleep well?,What are some good laptops under 60k?,0
186543,260714,287781,What is the most beautiful moment in your life?,What's the most beautiful moment in your life?,1
186544,100730,258143,How can I motivate myself to achieve more?,How can I motivate myself to achieve more?,1
186545,250329,114778,What are the best books on modern philosophy?,How can I improve my communication skills?,0
186546,167091,281312,Will there be a war between India and Pakistan?,Which is better: Java or Python?,0
186547,116390,112396,How do you sleep well?,Is it scientifically possible to bring someone back to life?,0
186548,131587,185164,How can I get venture capital for my startup?,What are the best books on modern philosophy?,0
186549,260441,108716,What are the best books on modern philosophy?,How do you sleep well?,0
186550,275966,244194,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186551,198791,233518,What is GST and how does it benefit common people?,What's GST and how does it benefit common people?,1
186552,295520,296075,What is the most beautiful moment in your life?,What are the best books on modern philosophy?,0
186553,147638,168176,How can I improve my communication skills?,How can I improve my communication skills?,1
186554,182319,198407,How do I remove water from ear?,How do I remove water from ear?,1
186555,122289,121480,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186556,109246,160316,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
186557,194070,230393,How can I motivate myself to achieve more?,How do you sleep well?,0
186558,155343,206360,How can I improve my communication skills?,How can I improve my communication skills?,1
186559,128361,246180,How do you sleep well?,How do I remove water from ear?,0
186560,116354,280320,What are the best books on modern philosophy?,What are the best books on modern philosophy?,1
186561,245124,213002,What are the differences between Android and iOS?,What are some the differences between Android and iOS?,1
186562,256236,218501,How can I get venture capital for my startup?,What is the future of data science?,0
186563,149357,158176,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
186564,136753,290471,How can I improve my communication skills?,How can I improve my communication skills?,1
186565,285460,258847,How can I get venture capital for my startup?,What is the future of data science?,0
186566,293348,275183,How can I improve my communication skills?,How can I improve my communication skills?,1
186567,143959,282166,How can I motivate myself to achieve more?,How do I motivate myself to achieve more?,1
186568,124335,292595,What are the best books on modern philosophy?,Which is better: Java or Python?,0
186569,287364,251946,Will there be a war between India and Pakistan?,Is it scientifically possible to bring someone back to life?,0
186570,225295,190014,How can I motivate myself to achieve more?,How can I motivate myself to achieve more?,1
186571,272008,155765,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186572,236280,152074,How do you sleep well?,How do you sleep well?,1
186573,221606,172427,What is GST and how does it benefit common people?,Which is better: Java or Python?,0
186574,150432,210838,Will there be a war between India and Pakistan?,How can I motivate myself to achieve more?,0
186575,111261,291772,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
186576,220537,246553,Which is better: Java or Python?,Which is better: Java or Python?,1
186577,197659,127615,How do you sleep well?,How can I motivate myself to achieve more?,0
186578,194245,257155,How do you sleep well?,How do you sleep well?,1
186579,261030,266072,What is GST and how does it benefit common people?,What is the most beautiful moment in your life?,0
186580,158700,149906,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
186581,261628,104745,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186582,201822,125801,How can I motivate myself to achieve more?,What are some good laptops under 60k?,0
186583,217694,134770,How can I get venture capital for my startup?,How do I get venture capital for my startup?,1
186584,129840,215085,Which is better: Java or Python?,What is GST and how does it benefit common people?,0
186585,205653,207684,What is the most beautiful moment in your life?,What are the differences between Android and iOS?,0
186586,110408,103023,What are the differences between Android and iOS?,How do you sleep well?,0
186587,200150,273343,How do I remove water from ear?,How can I get venture capital for my startup?,0
186588,163512,220425,How can I improve my communication skills?,How can I improve my communication skills?,1
186589,147612,201412,What is the most beautiful moment in your life?,How can I improve my communication skills?,0
186590,233336,295893,What are some good laptops under 60k?,Is it scientifically possible to bring someone back to life?,0
186591,133666,226585,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
186592,162408,199848,How do I remove water from ear?,How do I remove water from ear?,1
186593,290291,282648,How can I improve my communication skills?,What should I do to overcome anxiety?,0
186594,220721,145280,What is GST and how does it benefit common people?,What is GST and how should Ies it benefit common people?,1
186595,257393,252223,How can I get venture capital for my startup?,How can I motivate myself to achieve more?,0
186596,226844,176403,What should I do to overcome anxiety?,What is the most beautiful moment in your life?,0
186597,177140,261229,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186598,255227,255448,How can I motivate myself to achieve more?,What are the best books on modern philosophy?,0
186599,174598,244382,What are the best books on modern philosophy?,What are the best books on modern philosophy?,1
186600,109999,175100,What are some good laptops under 60k?,Is it scientifically possible to bring someone back to life?,0
186601,168208,149185,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186602,222370,205369,How can I improve my communication skills?,How can I improve my communication skills?,1
186603,298387,195772,What is the future of data science?,Will there be a war between India and Pakistan?,0
186604,264858,116149,What is the future of data science?,How can I motivate myself to achieve more?,0
186605,251965,154068,How can I motivate myself to achieve more?,What is the future of data science?,0
186606,175939,286399,Will there be a war between India and Pakistan?,Which is better: Java or Python?,0
186607,107151,105654,What is the future of data science?,What is the future of data science?,1
186608,256316,170454,How can I improve my communication skills?,How do you sleep well?,0
186609,232917,240376,What are the differences between Android and iOS?,What are some the differences between Android and iOS?,1
186610,162074,137163,What is the future of data science?,What is the future of data science?,1
186611,119792,231344,How can I get venture capital for my startup?,What are the best books on modern philosophy?,0
186612,205360,119048,What are the differences between Android and iOS?,What are the differences between Android and iOS?,1
186613,291942,220453,How can I improve my communication skills?,How can I improve my communication skills?,1
186614,212253,214708,What is GST and how does it benefit common people?,What is GST and how should Ies it benefit common people?,1
186615,149282,124513,What are the best books on modern philosophy?,What are some the best books on modern philosophy?,1
186616,123767,199059,Which is better: Java or Python?,Which is better: Java or Python?,1
186617,295990,294172,What are some good laptops under 60k?,Which is better: Java or Python?,0
186618,211912,238724,What is the future of data science?,What is the future of data science?,1
186619,147579,219913,What are the differences between Android and iOS?,What are the differences between Android and iOS?,1
186620,129096,129446,What are the best books on modern philosophy?,What are the best books on modern philosophy?,1
186621,279240,131427,What is GST and how does it benefit common people?,What is GST and how does it benefit common people?,1
186622,140225,143978,What is GST and how does it benefit common people?,How can I get venture capital for my startup?,0
186623,102264,198717,What is the future of data science?,What is the future of data science?,1
186624,127563,221269,What is the future of data science?,What are some good laptops under 60k?,0
186625,182387,237254,How do I remove water from ear?,What are the differences between Android and iOS?,0
186626,124590,129559,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186627,139022,202439,What should I do to overcome anxiety?,What are the differences between Android and iOS?,0
186628,205724,202790,What are the best books on modern philosophy?,What are some the best books on modern philosophy?,1
186629,228331,161565,Which is better: Java or Python?,Which is better: Java or Python?,1
186630,157972,151415,What is GST and how does it benefit common people?,How can I get venture capital for my startup?,0
186631,204697,182057,What are some good laptops under 60k?,Will there be a war between India and Pakistan?,0
186632,265879,168284,How do I remove water from ear?,How do I remove water from ear?,1
186633,242482,250330,Which is better: Java or Python?,How can I motivate myself to achieve more?,0
186634,167070,288065,Is it scientifically possible to bring someone back to life?,How do I remove water from ear?,0
186635,114746,136895,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186636,293067,274883,How do I remove water from ear?,How should I I remove water from ear?,1
186637,292366,113835,Which is better: Java or Python?,Which is better: Java or Python?,1
186638,158994,188606,Is it scientifically possible to bring someone back to life?,Is it scientifically possible to bring someone back to life?,1
186639,273760,121781,Which is better: Java or Python?,How can I improve my communication skills?,0
186640,147242,271660,Will there be a war between India and Pakistan?,What should I do to overcome anxiety?,0
186641,160904,289188,What is the most beautiful moment in your life?,Is it scientifically possible to bring someone back to life?,0
186642,160310,160350,What are the best books on modern philosophy?,What are the best books on modern philosophy?,1
186643,189609,230557,What is the future of data science?,What is the future of data science?,1
186644,121977,242969,What are some good laptops under 60k?,What are some good laptops under 60k?,1
186645,176790,151672,What should I do to overcome anxiety?,What is the most beautiful moment in your life?,0
186646,115305,151295,How can I improve my communication skills?,How do I improve my communication skills?,1
186647,187925,298424,How can I get venture capital for my startup?,What is the most beautiful moment in your life?,0
186648,256607,274044,What are the differences between Android and iOS?,Which is better: Java or Python?,0
186649,175530,227062,Will there be a war between India and Pakistan?,Will there be a war between India and Pakistan?,1
186650,212646,114242,How can I improve my communication skills?,What is GST and how does it benefit common people?,0
186651,207558,109803,What is GST and how does it benefit common people?,Will there be a war between India and Pakistan?,0
186652,114362,297859,What is the most beautiful moment in your life?,What is the most beautiful moment in your life?,1
186653,109121,113013,What are some good laptops under 60k?,What is the future of data science?,0
186654,180108,297274,How do I remove water from ear?,What is the most beautiful moment in your life?,0
186655,181529,219071,How do I remove water from ear?,Will there be a war between India and Pakistan?,0
186656,213606,202191,What is the most beautiful moment in your life?,What are the best books on modern philosophy?,0
186657,119051,286860,What are the differences between Android and iOS?,What are the differences between Android and iOS?,1
186658,220683,101380,How can I motivate myself to achieve more?,How can I motivate myself to achieve more?,1
186659,129527,121725,What are the differences between Android and iOS?,How do you sleep well?,0
186660,180278,279648,What should I do to overcome anxiety?,What should I do to overcome anxiety?,1
186661,262704,192367,How can I improve my communication skills?,Will there be a war between India and Pakistan?,0
186662,210250,246200,How can I motivate myself to achieve more?,What are the best books on modern philosophy?,0
186663,102747,236194,How can I get venture capital for my startup?,How can I get venture capital for my startup?,1
186664,198665,238190,How can I get venture capital for my startup?,What is GST and how does it benefit common people?,0
186665,138754,276437,What is the most beautiful moment in your life?,What is GST and how does it benefit common people?,0
186666,283682,194405,How do you sleep well?,How do you sleep well?,1
186667,162237,194221,How can I motivate myself to achieve more?,What should I do to overcome anxiety?,0
